	id	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3	team1Winning	Avg_SR_Difference	Avg_WPR_Difference	Total_MVP_Difference	Prev_Enc_Team1_WinPerc	Total_RF_Difference
148	149	2010	Kolkata	2010-04-04	Kolkata Knight Riders	Kings XI Punjab	Kolkata Knight Riders	bat	normal	0	Kings XI Punjab	0	8	DPMD Jayawardene	Eden Gardens	S Asnani	DJ Harper		0	-6.57229360784	-0.807543023708	-4	50.0	33.3333333333
149	150	2010	Delhi	2010-04-04	Delhi Daredevils	Royal Challengers Bangalore	Delhi Daredevils	bat	normal	0	Delhi Daredevils	37	0	PD Collingwood	Feroz Shah Kotla	BF Bowden	M Erasmus		1	9.66890472896	1.96304354268	0	80.0	66.6666666667
151	152	2010	Chennai	2010-04-06	Chennai Super Kings	Mumbai Indians	Chennai Super Kings	bat	normal	0	Chennai Super Kings	24	0	SK Raina	MA Chidambaram Stadium, Chepauk	S Asnani	DJ Harper		1	14.1831529465	2.6985417577	5	40.0	-33.3333333333
152	153	2010	Jaipur	2010-04-07	Kings XI Punjab	Rajasthan Royals	Kings XI Punjab	bat	normal	0	Rajasthan Royals	0	9	MJ Lumb	Sawai Mansingh Stadium	S Ravi	SK Tarapore		0	-15.4149197415	0.100429075627	-1	40.0	0.0
153	154	2010	Kolkata	2010-04-07	Kolkata Knight Riders	Delhi Daredevils	Kolkata Knight Riders	bat	normal	0	Kolkata Knight Riders	14	0	SC Ganguly	Eden Gardens	BG Jerling	RE Koertzen		1	-15.8244139109	-1.87539601083	-8	25.0	-66.6666666667
155	156	2010	Chandigarh	2010-04-09	Mumbai Indians	Kings XI Punjab	Mumbai Indians	bat	normal	0	Kings XI Punjab	0	6	KC Sangakkara	Punjab Cricket Association Stadium, Mohali	M Erasmus	AM Saheba		0	-2.07997903785	0.747434362974	1	40.0	33.3333333333
157	158	2010	Bangalore	2010-04-10	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	7	R Vinay Kumar	M Chinnaswamy Stadium	K Hariharan	DJ Harper		0	-0.0219413402096	-0.356704457973	-5	60.0	0.0
158	159	2010	Delhi	2010-04-11	Delhi Daredevils	Kings XI Punjab	Delhi Daredevils	bat	normal	0	Kings XI Punjab	0	7	PP Chawla	Feroz Shah Kotla	BF Bowden	AM Saheba		0	14.2577699163	-0.411394864223	5	33.3333333333	0.0
159	160	2010	Jaipur	2010-04-11	Mumbai Indians	Rajasthan Royals	Rajasthan Royals	field	normal	0	Mumbai Indians	37	0	SR Tendulkar	Sawai Mansingh Stadium	BR Doctrove	SK Tarapore		1	-3.5455976282	0.90087316306	-2	50.0	0.0
161	162	2010	Mumbai	2010-04-13	Mumbai Indians	Delhi Daredevils	Mumbai Indians	bat	normal	0	Mumbai Indians	39	0	KA Pollard	Brabourne Stadium	S Asnani	DJ Harper		1	-5.56665915713	0.42839285621	-4	40.0	0.0
162	163	2010	Chennai	2010-04-13	Kolkata Knight Riders	Chennai Super Kings	Kolkata Knight Riders	bat	normal	0	Chennai Super Kings	0	9	R Ashwin	MA Chidambaram Stadium, Chepauk	SS Hazare	SJA Taufel		0	-17.8745937752	-2.1417678382	-5	33.3333333333	-66.6666666667
163	164	2010	Jaipur	2010-04-14	Rajasthan Royals	Royal Challengers Bangalore	Rajasthan Royals	bat	normal	0	Royal Challengers Bangalore	0	5	KP Pietersen	Sawai Mansingh Stadium	BR Doctrove	S Ravi		0	18.0809274358	-0.253864585937	0	60.0	-33.3333333333
164	165	2010	Chennai	2010-04-15	Chennai Super Kings	Delhi Daredevils	Chennai Super Kings	bat	normal	0	Delhi Daredevils	0	6	G Gambhir	MA Chidambaram Stadium, Chepauk	HDPK Dharmasena	SS Hazare		0	12.8106443676	1.28283627266	4	60.0	100.0
166	167	2010	Bangalore	2010-04-17	Mumbai Indians	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Mumbai Indians	57	0	R McLaren	M Chinnaswamy Stadium	HDPK Dharmasena	SJA Taufel		1	9.40176272501	1.10306635355	-3	40.0	0.0
167	168	2010	Kolkata	2010-04-17	Rajasthan Royals	Kolkata Knight Riders	Rajasthan Royals	bat	normal	0	Kolkata Knight Riders	0	8	JD Unadkat	Eden Gardens	BG Jerling	RB Tiffin		0	18.9844790508	1.28459163315	7	75.0	0.0
168	169	2010	Dharamsala	2010-04-18	Kings XI Punjab	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	6	MS Dhoni	Himachal Pradesh Cricket Association Stadium	BF Bowden	AM Saheba		0	-9.45731813903	-1.44694580249	-2	0.0	0.0
170	171	2010	Kolkata	2010-04-19	Mumbai Indians	Kolkata Knight Riders	Mumbai Indians	bat	normal	0	Kolkata Knight Riders	0	9	M Kartik	Eden Gardens	BG Jerling	RE Koertzen		0	3.22906942941	0.318729279147	-2	100.0	66.6666666667
171	172	2010	Mumbai	2010-04-21	Mumbai Indians	Royal Challengers Bangalore	Mumbai Indians	bat	normal	0	Mumbai Indians	35	0	KA Pollard	Dr DY Patil Sports Academy	BR Doctrove	RB Tiffin		1	-5.46023531273	1.6293860677	-2	50.0	0.0
174	175	2010	Mumbai	2010-04-25	Chennai Super Kings	Mumbai Indians	Chennai Super Kings	bat	normal	0	Chennai Super Kings	22	0	SK Raina	Dr DY Patil Sports Academy	RE Koertzen	SJA Taufel		1	8.44376233333	-0.00393998668199	4	50.0	0.0
